Вакансия,Зарплата,Ссылка,Сайт
Швея-универсал,по договоренности,https://perm.rabota.ru/vacancy/44690433/,https://perm.rabota.ru/
Арматурщик,100 000 — 120 000 руб.,https://perm.rabota.ru/vacancy/44721659/,https://perm.rabota.ru/
Оператор склада,25 000 руб.,https://perm.rabota.ru/vacancy/44721772/,https://perm.rabota.ru/
Продавец-консультант,по договоренности,https://perm.rabota.ru/vacancy/30320890/,https://perm.rabota.ru/
Слесарь-сантехник,20 000 — 25 000 руб.,https://perm.rabota.ru/vacancy/40619279/,https://perm.rabota.ru/
Специалист отдела сопровождения обслуживания клиентов,по договоренности,https://perm.rabota.ru/vacancy/44702088/,https://perm.rabota.ru/
Бухгалтер,20 000 — 30 000 руб.,https://perm.rabota.ru/vacancy/44697189/,https://perm.rabota.ru/
Монтажник светопрозрачных конструкций,50 000 — 100 000 руб.,https://perm.rabota.ru/vacancy/42501531/,https://perm.rabota.ru/
Автомаляр-подготовщик,30 000 — 60 000 руб.,https://perm.rabota.ru/vacancy/44286077/,https://perm.rabota.ru/
Охранник с лицензией,от 45 000 руб.,https://perm.rabota.ru/vacancy/43607570/,https://perm.rabota.ru/
Менеджер по продажам,от 50 000 руб.,https://perm.rabota.ru/vacancy/44726359/,https://perm.rabota.ru/
Водитель ричтрака (г. Пермь),36 000 — 45 000 руб.,https://perm.rabota.ru/vacancy/44702305/,https://perm.rabota.ru/
Автослесарь-автомеханик,30 000 — 55 000 руб.,https://perm.rabota.ru/vacancy/44262667/,https://perm.rabota.ru/
Повар-универсал,от 25 000 руб.,https://perm.rabota.ru/vacancy/44707632/,https://perm.rabota.ru/
Водитель категории СЕ (метан),53 000 руб.,https://perm.rabota.ru/vacancy/44697454/,https://perm.rabota.ru/
Машинист экскаватора погрузчика,45 000 — 50 000 руб.,https://perm.rabota.ru/vacancy/44690406/,https://perm.rabota.ru/
Бухгалтер-Делопроизводитель,30 000 — 40 000 руб.,https://perm.rabota.ru/vacancy/44715333/,https://perm.rabota.ru/
Кредитный специалист (магазин электроники и бытовой техники),по договоренности,https://perm.rabota.ru/vacancy/43469364/?search_id=1629125540931v187ngodytq,https://perm.rabota.ru/
Менеджер по продажам,по договоренности,https://perm.rabota.ru/vacancy/44708334/?search_id=1629125540931v187ngodytq,https://perm.rabota.ru/
Водитель-курьер на личном автомобиле (частичная занятость),от 16 000 руб.,https://perm.rabota.ru/vacancy/44728139/,https://perm.rabota.ru/
Монтажник рекламных конструкций,28 000 — 40 000 руб.,https://perm.rabota.ru/vacancy/44710452/?search_id=1629125540931v187ngodytq,https://perm.rabota.ru/
Продавец-консультант (Пермь),42 000 — 63 000 руб.,https://perm.rabota.ru/vacancy/44605392/?search_id=1629125540931v187ngodytq,https://perm.rabota.ru/
Продавец-консультант,от 25 000 руб.,https://perm.rabota.ru/vacancy/44702099/?search_id=1629125540931v187ngodytq,https://perm.rabota.ru/
Монтажник СТ и ЖБК,43 000 — 49 000 руб.,https://perm.rabota.ru/vacancy/44008230/?search_id=1629125540931v187ngodytq,https://perm.rabota.ru/
Слесарь-сантехник,30 000 — 35 000 руб.,https://perm.rabota.ru/vacancy/44717800/?search_id=1629125540931v187ngodytq,https://perm.rabota.ru/
Продавец магазина Магнит (Центральный район),от 22 800 руб.,https://perm.rabota.ru/vacancy/44517749/?search_id=1629125540931v187ngodytq,https://perm.rabota.ru/
Кондитер,23 000 — 30 000 руб.,https://perm.rabota.ru/vacancy/44723546/?search_id=1629125540931v187ngodytq,https://perm.rabota.ru/
Дизайнер в офис,20 000 — 25 000 руб.,https://perm.rabota.ru/vacancy/44727321/?search_id=1629125540931v187ngodytq,https://perm.rabota.ru/
Охранник с лицензией,60 000 руб.,https://perm.rabota.ru/vacancy/43862479/?search_id=1629125540931v187ngodytq,https://perm.rabota.ru/
Инженер ПТО (вахта),от 114 000 руб.,https://perm.rabota.ru/vacancy/43861245/?search_id=1629125540931v187ngodytq,https://perm.rabota.ru/
Руководитель проекта/ Главный инженер,от 50 000 руб.,https://perm.rabota.ru/vacancy/44414787/?search_id=1629125540931v187ngodytq,https://perm.rabota.ru/
Геодезист,135 000 — 150 000 руб.,https://perm.rabota.ru/vacancy/43831774/?search_id=1629125540931v187ngodytq,https://perm.rabota.ru/
Водитель мусоровоза,35 000 руб.,https://perm.rabota.ru/vacancy/44205362/?search_id=1629125540931v187ngodytq,https://perm.rabota.ru/
Менеджер по продажам,20 000 — 80 000 руб.,https://perm.rabota.ru/vacancy/44002527/?search_id=1629125540931v187ngodytq,https://perm.rabota.ru/
Менеджер по продажам,20 000 — 70 000 руб.,https://perm.rabota.ru/vacancy/44227333/?search_id=1629125540931v187ngodytq,https://perm.rabota.ru/
Продавец-консультант (ТЦ Семья),от 30 000 руб.,https://perm.rabota.ru/vacancy/44623001/?search_id=1629125540931v187ngodytq,https://perm.rabota.ru/
Продавец-консультант (ТЦ Семья),от 30 000 руб.,https://perm.rabota.ru/vacancy/44623002/?search_id=1629125540931v187ngodytq,https://perm.rabota.ru/
Штукатур,30 000 — 50 000 руб.,https://perm.rabota.ru/vacancy/44725325/?search_id=1629125540931v187ngodytq,https://perm.rabota.ru/
Менеджер по работе с клиентами,30 000 — 60 000 руб.,https://perm.rabota.ru/vacancy/44702368/,https://perm.rabota.ru/
Рабочий-строитель,20 000 — 30 000 руб.,https://perm.rabota.ru/vacancy/44658816/,https://perm.rabota.ru/
Водитель на автовышку/автокран,50 000 — 80 000 руб.,https://perm.rabota.ru/vacancy/43851518/,https://perm.rabota.ru/
Продавец,по договоренности,https://perm.rabota.ru/vacancy/44174173/,https://perm.rabota.ru/
